size,trial,adds,muls,time_seconds
681,1,233735,0,0.008392333
681,2,233735,0,0.077187167
681,3,233735,0,0.008737667
681,4,233735,0,0.007764792
681,5,233735,0,0.008908792
681,6,233735,0,0.007515458
681,7,233735,0,0.007648208
681,8,233735,0,0.0082645
681,9,233735,0,0.009203125
681,10,233735,0,0.008155666
691,1,240631,0,0.010758
691,2,240631,0,0.008557542
691,3,240631,0,0.078044917
691,4,240631,0,0.008986459
691,5,240631,0,0.00792275
691,6,240631,0,0.009097958
691,7,240631,0,0.008760292
691,8,240631,0,0.007839125
691,9,240631,0,0.0086555
691,10,240631,0,0.008433167
701,1,247317,0,0.00940475
701,2,247317,0,0.010235583
701,3,247317,0,0.009641167
701,4,247317,0,0.085416417
701,5,247317,0,0.009651791
701,6,247317,0,0.008909166
701,7,247317,0,0.009742292
701,8,247317,0,0.010224083
701,9,247317,0,0.009823834
701,10,247317,0,0.010064416
711,1,254499,0,0.010682834
711,2,254499,0,0.012119042
711,3,254499,0,0.011056208
711,4,254499,0,0.090381792
711,5,254499,0,0.010453625
711,6,254499,0,0.009895958
711,7,254499,0,0.009832458
711,8,254499,0,0.009998583
711,9,254499,0,0.009158334
711,10,254499,0,0.010227417
721,1,261629,0,0.010810084
721,2,261629,0,0.010171542
721,3,261629,0,0.0092845
721,4,261629,0,0.015576791
721,5,261629,0,0.008842375
721,6,261629,0,0.009634458
721,7,261629,0,0.009609083
721,8,261629,0,0.008838458
721,9,261629,0,0.009827791
721,10,261629,0,0.010081375
731,1,269080,0,0.0103475
731,2,269080,0,0.011046042
731,3,269080,0,0.016256084
731,4,269080,0,0.079061708
731,5,269080,0,0.010828333
731,6,269080,0,0.010118666
731,7,269080,0,0.009562
731,8,269080,0,0.0094595
731,9,269080,0,0.010738125
731,10,269080,0,0.009800333
741,1,276386,0,0.010574417
741,2,276386,0,0.017075583
741,3,276386,0,0.077187291
741,4,276386,0,0.010504791
741,5,276386,0,0.010408875
741,6,276386,0,0.010813125
741,7,276386,0,0.010098792
741,8,276386,0,0.010864541
741,9,276386,0,0.010240875
741,10,276386,0,0.0108285
751,1,283525,0,0.081899375
751,2,283525,0,0.010537083
751,3,283525,0,0.00983025
751,4,283525,0,0.009726375
751,5,283525,0,0.010575584
751,6,283525,0,0.010196166
751,7,283525,0,0.010302917
751,8,283525,0,0.011012084
751,9,283525,0,0.016262667
